GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.cwe,CweDB,84,47,13,5,10,10,10,3,1,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.cpe,CPEHandler,133,0,16,0,32,0,14,0,6,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.cpe,Cpe,75,0,2,0,19,0,9,0,8,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.cpe,CPEHandler.Element,73,0,0,0,17,0,15,0,15,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update,EngineVersionCheck,112,206,31,19,17,54,24,8,1,6
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update,NvdCveUpdater,435,650,81,71,86,159,61,28,1,12
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update,NvdCveUpdater.TimestampRetriever,5,29,0,0,0,8,0,2,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update,UpdateService,0,12,0,0,0,4,0,2,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update,CpeUpdater,3,0,0,0,1,0,1,0,1,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml,XmlEntity,3,1551,0,4,2,262,1,4,1,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml,XmlInputStream,11,342,7,41,3,64,6,30,0,12
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer.exception,AnalysisException,7,9,0,0,4,4,2,2,2,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer.exception,ArchiveExtractionException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,DownloadFailedException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,Downloader,546,241,52,24,75,74,36,11,2,7
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,InvalidSettingException,12,4,0,0,6,2,3,1,3,1
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,SSLSocketFactoryEx,181,112,8,6,37,29,16,7,11,5
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,URLConnectionFactory,183,75,39,5,42,27,22,6,2,4
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,FileUtils,45,94,8,10,12,20,9,9,2,7
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,URLConnectionFailureException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,URLConnectionFactory.new Authenticator() {...},52,0,6,0,10,0,5,0,2,0
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,Settings,266,535,45,55,31,133,38,47,3,32
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,Checksum,65,126,14,10,3,24,11,6,1,4
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,XmlUtils,21,103,4,4,4,28,5,4,1,4
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,ExpectedObjectInputStream,0,32,0,2,0,7,0,3,0,2
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,ExtractionException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,Settings.KEYS,3,0,0,0,2,0,1,0,1,0
